Timestamp,EventType,Details
2026-05-09 15:01:31,Session Start,Study session started
2026-05-09 15:07:44,Session Start,Study session started
2026-05-09 15:07:59,Session Start,Study session started
2026-05-09 15:08:42,Session Start,Study session started
2026-05-09 15:11:48,Session Start,Study session started
2026-05-09 15:32:01,Session Start,Study session started
2026-05-09 15:32:39,Session Start,Study session started
2026-05-09 15:41:40,Session Start,Study session started
2026-05-09 15:44:02,Session Start,Study session started
2026-05-09 15:44:37,Sleep,Eyes closed for >3s
2026-05-09 15:44:51,Phone Usage,Phone detected in frame
2026-05-09 15:44:52,Phone Usage,Phone detected in frame
2026-05-09 15:44:52,Phone Usage,Phone detected in frame
2026-05-09 15:44:53,Phone Usage,Phone detected in frame
2026-05-09 15:45:06,Phone Usage,Phone detected in frame
2026-05-09 15:45:23,Sleep,Eyes closed for >3s
2026-05-09 15:45:28,Sleep,Eyes closed for >3s
2026-05-09 15:45:39,Sleep,Eyes closed for >3s
2026-05-09 15:45:39,Distraction,Looking Center for >3s
2026-05-09 15:45:59,Phone Usage,Phone detected in frame
2026-05-09 15:45:59,Sleep,Eyes closed for >3s
2026-05-09 15:46:06,Phone Usage,Phone detected in frame
2026-05-09 15:46:07,Sleep,Eyes closed for >3s
2026-05-09 15:46:07,Phone Usage,Phone detected in frame
2026-05-09 15:46:13,Sleep,Eyes closed for >3s
2026-05-09 15:46:16,Phone Usage,Phone detected in frame
2026-05-09 15:46:18,Phone Usage,Phone detected in frame
2026-05-09 15:46:18,Phone Usage,Phone detected in frame
2026-05-09 15:46:19,Phone Usage,Phone detected in frame
2026-05-09 15:46:19,Phone Usage,Phone detected in frame
2026-05-09 15:46:35,Distraction,Looking Center for >3s
2026-05-09 15:46:44,Distraction,Looking Center for >3s
2026-05-09 15:47:07,Sleep,Eyes closed for >3s
2026-05-09 15:47:38,Phone Usage,Phone detected in frame
2026-05-09 15:47:38,Phone Usage,Phone detected in frame
2026-05-09 15:47:40,Phone Usage,Phone detected in frame
2026-05-09 15:47:40,Phone Usage,Phone detected in frame
2026-05-09 15:47:41,Phone Usage,Phone detected in frame
2026-05-09 15:47:41,Phone Usage,Phone detected in frame
2026-05-09 15:47:41,Distraction,Looking Center for >3s
2026-05-09 15:47:42,Phone Usage,Phone detected in frame
2026-05-09 15:47:43,Phone Usage,Phone detected in frame
2026-05-09 15:47:43,Phone Usage,Phone detected in frame
2026-05-09 15:47:47,Distraction,Looking Center for >3s
2026-05-09 15:47:52,Phone Usage,Phone detected in frame
2026-05-09 15:47:55,Phone Usage,Phone detected in frame
2026-05-09 15:47:55,Distraction,Looking Center for >3s
2026-05-09 15:48:07,Distraction,Looking Center for >3s
2026-05-09 15:48:17,Distraction,Looking Center for >3s
2026-05-09 15:48:24,Phone Usage,Phone detected in frame
2026-05-09 15:48:26,Phone Usage,Phone detected in frame
2026-05-09 15:48:27,Phone Usage,Phone detected in frame
2026-05-09 15:48:28,Phone Usage,Phone detected in frame
2026-05-09 15:48:33,Phone Usage,Phone detected in frame
2026-05-09 15:48:37,Phone Usage,Phone detected in frame
2026-05-09 15:48:37,Phone Usage,Phone detected in frame
2026-05-09 15:48:37,Phone Usage,Phone detected in frame
2026-05-09 15:48:37,Phone Usage,Phone detected in frame
2026-05-09 15:48:38,Phone Usage,Phone detected in frame
2026-05-09 15:48:38,Phone Usage,Phone detected in frame
2026-05-09 15:48:39,Phone Usage,Phone detected in frame
2026-05-09 15:48:41,Phone Usage,Phone detected in frame
2026-05-09 15:48:41,Phone Usage,Phone detected in frame
2026-05-09 15:48:43,Phone Usage,Phone detected in frame
2026-05-09 15:48:59,Distraction,Looking Center for >3s
2026-05-09 15:49:01,Phone Usage,Phone detected in frame
2026-05-09 15:49:16,Distraction,Looking Center for >3s
2026-05-09 15:49:36,Distraction,Looking Center for >3s
2026-05-09 15:49:45,Distraction,Looking Center for >3s
2026-05-09 15:50:00,Distraction,Looking Center for >3s
2026-05-09 15:50:33,Phone Usage,Phone detected in frame
2026-05-09 15:50:34,Phone Usage,Phone detected in frame
2026-05-09 15:50:35,Phone Usage,Phone detected in frame
2026-05-09 15:50:36,Phone Usage,Phone detected in frame
2026-05-09 15:50:36,Phone Usage,Phone detected in frame
2026-05-09 15:51:05,Distraction,Looking Center for >3s
2026-05-09 15:51:23,Distraction,Looking Center for >3s
2026-05-09 15:51:36,Distraction,Looking Center for >3s
2026-05-09 15:51:51,Phone Usage,Phone detected in frame
2026-05-09 15:51:53,Phone Usage,Phone detected in frame
2026-05-09 15:51:55,Phone Usage,Phone detected in frame
2026-05-09 15:51:55,Phone Usage,Phone detected in frame
2026-05-09 15:51:58,Phone Usage,Phone detected in frame
2026-05-09 15:52:00,Phone Usage,Phone detected in frame
2026-05-09 15:52:47,Sleep,Eyes closed for >3s
2026-05-09 15:52:59,Phone Usage,Phone detected in frame
2026-05-09 15:53:00,Phone Usage,Phone detected in frame
2026-05-09 15:53:04,Phone Usage,Phone detected in frame
2026-05-09 15:53:04,Phone Usage,Phone detected in frame
2026-05-09 15:53:05,Phone Usage,Phone detected in frame
2026-05-09 15:53:06,Phone Usage,Phone detected in frame
2026-05-09 15:53:06,Phone Usage,Phone detected in frame
2026-05-09 15:53:06,Phone Usage,Phone detected in frame
2026-05-09 15:53:07,Phone Usage,Phone detected in frame
2026-05-09 15:53:08,Phone Usage,Phone detected in frame
2026-05-09 15:53:09,Phone Usage,Phone detected in frame
2026-05-09 15:53:12,Phone Usage,Phone detected in frame
2026-05-09 15:53:12,Phone Usage,Phone detected in frame
2026-05-09 15:53:12,Phone Usage,Phone detected in frame
2026-05-09 15:53:14,Phone Usage,Phone detected in frame
2026-05-09 15:53:14,Phone Usage,Phone detected in frame
2026-05-09 15:53:16,Phone Usage,Phone detected in frame
2026-05-09 15:53:17,Phone Usage,Phone detected in frame
2026-05-09 15:55:38,Sleep,Eyes closed for >3s
2026-05-09 15:56:02,Distraction,Looking Center for >3s
2026-05-09 15:56:11,Distraction,Looking Center for >3s
2026-05-09 15:56:18,Distraction,Looking Center for >3s
2026-05-09 15:56:38,Sleep,Eyes closed for >3s
2026-05-09 15:56:45,Phone Usage,Phone detected in frame
2026-05-09 15:56:55,Phone Usage,Phone detected in frame
2026-05-09 15:56:58,Phone Usage,Phone detected in frame
2026-05-09 15:56:58,Phone Usage,Phone detected in frame
2026-05-09 15:57:08,Distraction,Looking Center for >3s
2026-05-09 15:57:18,Sleep,Eyes closed for >3s
2026-05-09 15:57:27,Sleep,Eyes closed for >3s
2026-05-09 15:57:35,Sleep,Eyes closed for >3s
2026-05-09 15:57:47,Sleep,Eyes closed for >3s
2026-05-09 15:57:52,Sleep,Eyes closed for >3s
2026-05-09 15:57:55,Phone Usage,Phone detected in frame
2026-05-09 15:57:56,Phone Usage,Phone detected in frame
2026-05-09 15:58:06,Phone Usage,Phone detected in frame
2026-05-09 15:58:08,Phone Usage,Phone detected in frame
2026-05-09 15:58:08,Phone Usage,Phone detected in frame
2026-05-09 15:58:12,Phone Usage,Phone detected in frame
2026-05-09 15:58:16,Phone Usage,Phone detected in frame
2026-05-09 15:58:17,Phone Usage,Phone detected in frame
2026-05-09 15:58:17,Phone Usage,Phone detected in frame
2026-05-09 15:58:18,Phone Usage,Phone detected in frame
2026-05-09 15:58:18,Phone Usage,Phone detected in frame
2026-05-09 15:58:19,Phone Usage,Phone detected in frame
2026-05-09 16:02:42,Distraction,Looking Center for >3s
2026-05-09 16:02:57,Distraction,Looking Center for >3s
2026-05-09 16:03:14,Distraction,Looking Center for >3s
2026-05-09 16:03:34,Distraction,Looking Center for >3s
2026-05-09 16:03:42,Distraction,Looking Center for >3s
2026-05-09 16:03:49,Distraction,Looking Center for >3s
2026-05-09 16:03:55,Distraction,Looking Center for >3s
2026-05-09 16:04:17,Session End,"Total Sleeps: 16, Distractions: 27, Phones: 85"
2026-05-10 02:36:43,Session Start,Study session started
2026-05-10 02:37:07,Sleep,Eyes closed for >3s
2026-05-10 02:37:15,Phone Usage,Phone detected in frame
2026-05-10 02:37:17,Phone Usage,Phone detected in frame
2026-05-10 02:37:17,Phone Usage,Phone detected in frame
2026-05-10 02:37:26,Phone Usage,Phone detected in frame
2026-05-10 02:37:53,Distraction,Looking Center for >3s
2026-05-10 02:37:59,Phone Usage,Phone detected in frame
2026-05-10 02:38:00,Phone Usage,Phone detected in frame
2026-05-10 02:38:01,Phone Usage,Phone detected in frame
2026-05-10 02:38:19,Sleep,Eyes closed for >3s
2026-05-10 02:38:48,Sleep,Eyes closed for >3s
2026-05-10 02:38:58,Sleep,Eyes closed for >3s
2026-05-10 02:39:06,Sleep,Eyes closed for >3s
2026-05-10 02:39:11,Session End,"Total Sleeps: 5, Distractions: 1, Phones: 7"
2026-05-10 02:39:29,Session Start,Study session started
2026-05-10 02:39:41,Sleep,Eyes closed for >3s
2026-05-10 02:39:50,Sleep,Eyes closed for >3s
2026-05-10 02:40:00,Sleep,Eyes closed for >3s
2026-05-10 02:40:05,Sleep,Eyes closed for >3s
2026-05-10 02:40:18,Sleep,Eyes closed for >3s
2026-05-10 02:40:24,Session End,"Total Sleeps: 5, Distractions: 0, Phones: 0"
2026-05-10 02:41:05,Session Start,Study session started
2026-05-10 02:41:12,Sleep,Eyes closed for >3s
2026-05-10 02:41:14,Sleep,Eyes closed for >3s
2026-05-10 02:41:18,Sleep,Eyes closed for >3s
2026-05-10 02:41:29,Distraction,Looking Center for >3s
2026-05-10 02:41:32,Sleep,Eyes closed for >3s
2026-05-10 02:41:45,Distraction,Looking Center for >3s
2026-05-10 02:41:50,Distraction,Looking Center for >3s
2026-05-10 02:41:54,Sleep,Eyes closed for >3s
2026-05-10 02:41:56,Session End,"Total Sleeps: 5, Distractions: 3, Phones: 0"
2026-05-10 02:53:32,Session Start,Study session started
2026-05-10 02:53:55,Sleep,Eyes closed for >3s
2026-05-10 02:53:59,Phone Usage,Phone detected in frame
2026-05-10 02:53:59,Phone Usage,Phone detected in frame
2026-05-10 02:53:59,Sleep,Eyes closed for >3s
2026-05-10 02:54:08,Phone Usage,Phone detected in frame
2026-05-10 02:54:08,Phone Usage,Phone detected in frame
2026-05-10 02:54:09,Phone Usage,Phone detected in frame
2026-05-10 02:54:10,Phone Usage,Phone detected in frame
2026-05-10 02:54:10,Phone Usage,Phone detected in frame
2026-05-10 02:54:12,Phone Usage,Phone detected in frame
2026-05-10 02:54:12,Phone Usage,Phone detected in frame
2026-05-10 02:54:15,Phone Usage,Phone detected in frame
2026-05-10 02:54:15,Phone Usage,Phone detected in frame
2026-05-10 02:54:16,Phone Usage,Phone detected in frame
2026-05-10 02:54:17,Phone Usage,Phone detected in frame
2026-05-10 02:54:17,Phone Usage,Phone detected in frame
2026-05-10 02:54:19,Phone Usage,Phone detected in frame
2026-05-10 02:54:19,Phone Usage,Phone detected in frame
2026-05-10 02:54:20,Phone Usage,Phone detected in frame
2026-05-10 02:54:21,Phone Usage,Phone detected in frame
2026-05-10 02:54:21,Phone Usage,Phone detected in frame
2026-05-10 02:54:21,Phone Usage,Phone detected in frame
2026-05-10 02:54:22,Phone Usage,Phone detected in frame
2026-05-10 02:54:22,Phone Usage,Phone detected in frame
2026-05-10 02:54:26,Phone Usage,Phone detected in frame
2026-05-10 02:54:27,Phone Usage,Phone detected in frame
2026-05-10 02:54:28,Phone Usage,Phone detected in frame
2026-05-10 02:54:29,Phone Usage,Phone detected in frame
2026-05-10 02:54:31,Phone Usage,Phone detected in frame
2026-05-10 02:54:32,Phone Usage,Phone detected in frame
2026-05-10 02:54:32,Sleep,Eyes closed for >3s
2026-05-10 02:54:33,Phone Usage,Phone detected in frame
2026-05-10 02:54:34,Phone Usage,Phone detected in frame
2026-05-10 02:54:48,Sleep,Eyes closed for >3s
2026-05-10 02:55:45,Sleep,Eyes closed for >3s
2026-05-10 02:55:47,Sleep,Eyes closed for >3s
2026-05-10 02:56:40,Sleep,Eyes closed for >3s
2026-05-10 02:56:51,Distraction,Looking Center for >3s
2026-05-10 02:56:56,Sleep,Eyes closed for >3s
2026-05-10 02:57:14,Sleep,Eyes closed for >3s
2026-05-10 02:57:40,Distraction,Looking Center for >3s
2026-05-10 02:57:43,Distraction,Looking Center for >3s
2026-05-10 02:57:54,Distraction,Looking Center for >3s
2026-05-10 02:58:02,Distraction,Looking Center for >3s
2026-05-10 02:58:09,Distraction,Looking Center for >3s
2026-05-10 02:58:12,Distraction,Looking Center for >3s
2026-05-10 02:59:01,Distraction,Looking Center for >3s
2026-05-10 02:59:08,Distraction,Looking Center for >3s
2026-05-10 02:59:12,Distraction,Looking Center for >3s
2026-05-10 02:59:17,Distraction,Looking Center for >3s
2026-05-10 02:59:53,Distraction,Looking Center for >3s
2026-05-10 02:59:56,Distraction,Looking Center for >3s
2026-05-10 02:59:58,Distraction,Looking Center for >3s
2026-05-10 03:02:18,Distraction,Looking Center for >3s
2026-05-10 03:02:24,Distraction,Looking Center for >3s
2026-05-10 03:02:30,Distraction,Looking Center for >3s
2026-05-10 03:03:49,Distraction,Looking Center for >3s
2026-05-10 03:03:50,Distraction,Looking Center for >3s
2026-05-10 03:03:56,Distraction,Looking Center for >3s
2026-05-10 03:03:59,Distraction,Looking Center for >3s
2026-05-10 03:04:08,Distraction,Looking Center for >3s
2026-05-10 03:04:39,Distraction,Looking Center for >3s
2026-05-10 03:05:00,Distraction,Looking Center for >3s
2026-05-10 03:05:01,Distraction,Looking Center for >3s
2026-05-10 03:05:04,Distraction,Looking Center for >3s
2026-05-10 03:05:07,Distraction,Looking Center for >3s
2026-05-10 03:06:03,Distraction,Looking Center for >3s
2026-05-10 03:06:11,Distraction,Looking Center for >3s
2026-05-10 03:06:13,Distraction,Looking Center for >3s
2026-05-10 03:06:16,Distraction,Looking Center for >3s
2026-05-10 03:07:02,Distraction,Looking Center for >3s
2026-05-10 03:07:18,Distraction,Looking Center for >3s
2026-05-10 03:07:23,Distraction,Looking Center for >3s
2026-05-10 03:07:33,Distraction,Looking Center for >3s
2026-05-10 03:07:39,Sleep,Eyes closed for >3s
2026-05-10 03:07:40,Distraction,Looking Center for >3s
2026-05-10 03:07:43,Sleep,Eyes closed for >3s
2026-05-10 03:07:57,Sleep,Eyes closed for >3s
2026-05-10 03:07:59,Distraction,Looking Center for >3s
2026-05-10 03:08:08,Sleep,Eyes closed for >3s
2026-05-10 03:08:08,Distraction,Looking Center for >3s
2026-05-10 03:08:10,Distraction,Looking Center for >3s
2026-05-10 03:08:20,Distraction,Looking Center for >3s
2026-05-10 03:08:23,Distraction,Looking Center for >3s
2026-05-10 03:08:53,Distraction,Looking Center for >3s
2026-05-10 03:08:55,Sleep,Eyes closed for >3s
2026-05-10 03:08:58,Distraction,Looking Center for >3s
